SessionNum,M09,,,,,,
SessionDate,2/26/2020,,,,,,
Player1ID,M09A,,,,,,
Player2ID,M09B,,,,,,
TesterName,Selena,,,,,,
CoderName,Mya Haas,,,,,,
VideoFileName,,,,,,,
LSLFileName,,,,,,,
Game Number,Trial Number,Player,Arm,Probability,Outcome,Time,
1,91,1,1,,1,6:46.105,
1,92,2,1,,1,6:49.856,
1,93,1,1,,1,6:53.768,
1,94,2,1,,1,6:56.837,
1,95,1,1,,1,7:00.468,
1,96,2,1,,0,7:03.577,
1,97,1,2,,1,7:10.056,
1,98,2,2,,1,7:14.489,
1,99,1,2,,1,7:18.541,
1,100,2,2,,1,7:22.031,
1,101,1,,,,,
1,102,2,,,,,
1,103,1,,,,,
1,104,2,,,,,
1,105,1,,,,,
1,106,2,,,,,
1,107,1,,,,,
1,108,2,,,,,
1,109,1,,,,,
1,110,2,,,,,
1,111,1,,,,,
1,112,2,,,,,
1,113,1,,,,,
1,114,2,,,,,
1,115,1,,,,,
1,116,2,,,,,
1,117,1,,,,,
1,118,2,,,,,
1,119,1,,,,,
1,120,2,,,,,
1,121,1,,,,,
1,122,2,,,,,
1,123,1,,,,,
1,124,2,,,,,
1,125,1,,,,,
1,126,2,,,,,
1,127,1,,,,,
1,128,2,,,,,
1,129,1,,,,,
1,130,2,,,,,
1,131,1,,,,,
1,132,2,,,,,
1,133,1,,,,,
1,134,2,,,,,
1,135,1,,,,,
1,136,2,,,,,
1,137,1,,,,,
1,138,2,,,,,
1,139,1,,,,,
1,140,2,,,,,
1,141,1,,,,,
1,142,2,,,,,
1,143,1,,,,,
1,144,2,,,,,
1,145,1,,,,,
1,146,2,,,,,
1,147,1,,,,,
1,148,2,,,,,
1,149,1,,,,,
1,150,2,,,,,
1,151,1,,,,,
1,152,2,,,,,
1,153,1,,,,,
1,154,2,,,,,
1,155,1,,,,,
1,156,2,,,,,
1,157,1,,,,,
1,158,2,,,,,
1,159,1,,,,,
1,160,2,,,,,
1,161,1,,,,,
1,162,2,,,,,
1,163,1,,,,,
1,164,2,,,,,
1,165,1,,,,,
1,166,2,,,,,
1,167,1,,,,,
1,168,2,,,,,
1,169,1,,,,,
1,170,2,,,,,
1,171,1,,,,,
1,172,2,,,,,
1,173,1,,,,,
1,174,2,,,,,
1,175,1,,,,,
1,176,2,,,,,
1,177,1,,,,,
1,178,2,,,,,
1,179,1,,,,,
1,180,2,,,,,
1,181,1,,,,,
1,182,2,,,,,
1,183,1,,,,,
1,184,2,,,,,
1,185,1,,,,,
1,186,2,,,,,
1,187,1,,,,,
1,188,2,,,,,
1,189,1,,,,,
1,190,2,,,,,
1,191,1,,,,,
1,192,2,,,,,
1,193,1,,,,,
1,194,2,,,,,
1,195,1,,,,,
1,196,2,,,,,
1,197,1,,,,,
1,198,2,,,,,
1,199,1,,,,,
1,200,2,,,,,
2,1,1,,,,,
2,2,2,,,,,
2,3,1,,,,,
2,4,2,,,,,
2,5,1,,,,,
2,6,2,,,,,
2,7,1,,,,,
2,8,2,,,,,
2,9,1,,,,,
2,10,2,,,,,
2,11,1,,,,,
2,12,2,,,,,
2,13,1,,,,,
2,14,2,,,,,
2,15,1,,,,,
2,16,2,,,,,
2,17,1,,,,,
2,18,2,,,,,
2,19,1,,,,,
2,20,2,,,,,
2,21,1,,,,,
2,22,2,,,,,
2,23,1,,,,,
2,24,2,,,,,
2,25,1,,,,,
2,26,2,,,,,
2,27,1,,,,,
2,28,2,,,,,
2,29,1,,,,,
2,30,2,,,,,
2,31,1,,,,,
2,32,2,,,,,
2,33,1,,,,,
2,34,2,,,,,
2,35,1,,,,,
2,36,2,,,,,
2,37,1,,,,,
2,38,2,,,,,
2,39,1,,,,,
2,40,2,,,,,
2,41,1,,,,,
2,42,2,,,,,
2,43,1,,,,,
2,44,2,,,,,
2,45,1,,,,,
2,46,2,,,,,
2,47,1,,,,,
2,48,2,,,,,
2,49,1,,,,,
2,50,2,,,,,
2,51,1,,,,,
2,52,2,,,,,
2,53,1,,,,,
2,54,2,,,,,
2,55,1,,,,,
2,56,2,,,,,
2,57,1,,,,,
2,58,2,,,,,
2,59,1,,,,,
2,60,2,,,,,
2,61,1,,,,,
2,62,2,,,,,
2,63,1,,,,,
2,64,2,,,,,
2,65,1,,,,,
2,66,2,,,,,
2,67,1,,,,,
2,68,2,,,,,
2,69,1,,,,,
2,70,2,,,,,
2,71,1,,,,,
2,72,2,,,,,
2,73,1,,,,,
2,74,2,,,,,
2,75,1,,,,,
2,76,2,,,,,
2,77,1,,,,,
2,78,2,,,,,
2,79,1,,,,,
2,80,2,,,,,
2,81,1,,,,,
2,82,2,,,,,
2,83,1,,,,,
2,84,2,,,,,
2,85,1,,,,,
2,86,2,,,,,
2,87,1,,,,,
2,88,2,,,,,
2,89,1,,,,,
2,90,2,,,,,
2,91,1,,,,,
2,92,2,,,,,
2,93,1,,,,,
2,94,2,,,,,
2,95,1,,,,,
2,96,2,,,,,
2,97,1,,,,,
2,98,2,,,,,
2,99,1,,,,,
2,100,2,,,,,
2,101,1,,,,,
2,102,2,,,,,
2,103,1,,,,,
2,104,2,,,,,
2,105,1,,,,,
2,106,2,,,,,
2,107,1,,,,,
2,108,2,,,,,
2,109,1,,,,,
2,110,2,,,,,
2,111,1,,,,,
2,112,2,,,,,
2,113,1,,,,,
2,114,2,,,,,
2,115,1,,,,,
2,116,2,,,,,
2,117,1,,,,,
2,118,2,,,,,
2,119,1,,,,,
2,120,2,,,,,
2,121,1,,,,,
2,122,2,,,,,
2,123,1,,,,,
2,124,2,,,,,
2,125,1,,,,,
2,126,2,,,,,
2,127,1,,,,,
2,128,2,,,,,
2,129,1,,,,,
2,130,2,,,,,
2,131,1,,,,,
2,132,2,,,,,
2,133,1,,,,,
2,134,2,,,,,
2,135,1,,,,,
2,136,2,,,,,
2,137,1,,,,,
2,138,2,,,,,
2,139,1,,,,,
2,140,2,,,,,
2,141,1,,,,,
2,142,2,,,,,
2,143,1,,,,,
2,144,2,,,,,
2,145,1,,,,,
2,146,2,,,,,
2,147,1,,,,,
2,148,2,,,,,
2,149,1,,,,,
2,150,2,,,,,
2,151,1,,,,,
2,152,2,,,,,
2,153,1,,,,,
2,154,2,,,,,
2,155,1,,,,,
2,156,2,,,,,
2,157,1,,,,,
2,158,2,,,,,
2,159,1,,,,,
2,160,2,,,,,
2,161,1,,,,,
2,162,2,,,,,
2,163,1,,,,,
2,164,2,,,,,
2,165,1,,,,,
2,166,2,,,,,
2,167,1,,,,,
2,168,2,,,,,
2,169,1,,,,,
2,170,2,,,,,
2,171,1,,,,,
2,172,2,,,,,
2,173,1,,,,,
2,174,2,,,,,
2,175,1,,,,,
2,176,2,,,,,
2,177,1,,,,,
2,178,2,,,,,
2,179,1,,,,,
2,180,2,,,,,
2,181,1,,,,,
2,182,2,,,,,
2,183,1,,,,,
2,184,2,,,,,
2,185,1,,,,,
2,186,2,,,,,
2,187,1,,,,,
2,188,2,,,,,
2,189,1,,,,,
2,190,2,,,,,
2,191,1,,,,,
2,192,2,,,,,
2,193,1,,,,,
2,194,2,,,,,
2,195,1,,,,,
2,196,2,,,,,
2,197,1,,,,,
2,198,2,,,,,
2,199,1,,,,,
2,200,2,,,,,
